font_author,font_download,font_image,font_main_category,font_name,font_sub_category
davidsumdesign,//dl.dafont.com/dl/?f=borg,https://www.dafont.com/img/preview/b/o/borg0.png,Basic,Borg,Various
Daniel Adamko,//dl.dafont.com/dl/?f=hun_din_1451,https://www.dafont.com/img/preview/h/u/hun_din_14510.png,Basic,HUN-din 1451,Fixed width
Paweł Burgiel,//dl.dafont.com/dl/?f=althea,https://www.dafont.com/img/preview/a/l/althea1.png,Basic,Althea,Serif
SpideRaYsfoNtS,//dl.dafont.com/dl/?f=license_plate_usa,https://www.dafont.com/img/preview/l/i/license_plate_usa0.png,Basic,License Plate USA,Various
Sacha Rein,//dl.dafont.com/dl/?f=aldo,https://www.dafont.com/img/preview/a/l/aldo0.png,Basic,Aldo,Sans serif
Type Sailor,//dl.dafont.com/dl/?f=ts_chapinero,https://www.dafont.com/img/preview/t/s/ts_chapinero0.png,Gothic,TS Chapinero,Modern
Kiwari Kolektiv,//dl.dafont.com/dl/?f=kiwari,https://www.dafont.com/img/preview/k/i/kiwari0.png,Basic,Kiwari,Sans serif
Emanes Dsign,//dl.dafont.com/dl/?f=viyola,https://www.dafont.com/img/preview/v/i/viyola0.png,Basic,Viyola,Various
Typo-Graf,//dl.dafont.com/dl/?f=feinsliebchen_barock,https://www.dafont.com/img/preview/f/e/feinsliebchen_barock0.png,Gothic,Feinsliebchen Barock,Initials
Woodcutter,//dl.dafont.com/dl/?f=mediogramo,https://www.dafont.com/img/preview/m/e/mediogramo0.png,Gothic,Mediogramo,Initials
Bonez Designz,//dl.dafont.com/dl/?f=bittersweet2,https://www.dafont.com/img/preview/b/i/bittersweet20.png,Gothic,BitterSweet,Medieval
Typodermic Fonts,//dl.dafont.com/dl/?f=naftalene,https://www.dafont.com/img/preview/n/a/naftalene0.png,Gothic,Naftalene,Modern
Hurufraktur,//dl.dafont.com/dl/?f=hurufraktur,https://www.dafont.com/img/preview/h/u/hurufraktur0.png,Gothic,Hurufraktur,Medieval
Ridwanfil,//dl.dafont.com/dl/?f=zabur,https://www.dafont.com/img/preview/z/a/zabur0.png,Gothic,Zabur,Modern
Chequered Ink,//dl.dafont.com/dl/?f=breathe_fire_ii,https://www.dafont.com/img/preview/b/r/breathe_fire_ii0.png,Gothic,Breathe Fire II,Celtic
Creative Media Lab,//dl.dafont.com/dl/?f=black_cameo,https://www.dafont.com/img/preview/b/l/black_cameo0.png,Gothic,Black Cameo,Modern
Doffdog,//dl.dafont.com/dl/?f=metal,https://www.dafont.com/img/preview/m/e/metal0.png,Gothic,Metal,Modern
Sebastian Kamper,//dl.dafont.com/dl/?f=fraktur_handschrift,https://www.dafont.com/img/preview/f/r/fraktur_handschrift0.png,Gothic,Fraktur Handschrift,Medieval
Creative Media Lab,//dl.dafont.com/dl/?f=cameo_sweet_gothic,https://www.dafont.com/img/preview/c/a/cameo_sweet_gothic0.png,Gothic,Cameo Sweet Gothic,Various
38.lineart,//dl.dafont.com/dl/?f=amstha,https://www.dafont.com/img/preview/a/m/amstha3.png,Gothic,Amstha,Modern
Chequered Ink,//dl.dafont.com/dl/?f=pimlico,https://www.dafont.com/img/preview/p/i/pimlico0.png,Gothic,Pimlico,Various
weknow,//dl.dafont.com/dl/?f=dark,https://www.dafont.com/img/preview/d/a/dark0.png,Gothic,Dark,Modern
Peter Wiegel,//dl.dafont.com/dl/?f=cat_liebing_gotisch,https://www.dafont.com/img/preview/c/a/cat_liebing_gotisch0.png,Gothic,CAT Liebing Gotisch,Medieval
Chequered Ink,//dl.dafont.com/dl/?f=lovesauce,https://www.dafont.com/img/preview/l/o/lovesauce0.png,Gothic,Lovesauce,Modern
Projeto Tipo da Fonte,//dl.dafont.com/dl/?f=cibergotica,https://www.dafont.com/img/preview/c/i/cibergotica0.png,Gothic,CiberGotica,Modern
Peter Wiegel,//dl.dafont.com/dl/?f=gaeilge_2,https://www.dafont.com/img/preview/g/a/gaeilge_20.png,Gothic,Gaeilge,Celtic
Intellecta Design,//dl.dafont.com/dl/?f=kidnapped_at_german_lands_three,https://www.dafont.com/img/preview/k/i/kidnapped_at_german_lands_three0.png,Gothic,Kidnapped at German Lands Three,Initials
