author_country,author_link,author_name
 Chile ,https://www.dafont.com/rodrigotypo.d6257,RodrigoTypo - Rodrigo Araya Salas
 Chile ,https://www.dafont.com/sami.d6891,sami
 Chile ,https://www.dafont.com/sergio-catalan.d2171,Sergio Catalán
 Chile ,https://www.dafont.com/south-type.d5515,Southype - Rodrigo Gonzalez
 Chile ,https://www.dafont.com/zootype-foundry.d4709,Zootype Foundry
 Russia ,https://www.dafont.com/aleksander-shevchuk.d2405,Aleksander Shevchuk
 Russia ,https://www.dafont.com/aleksandr-savenkov.d3642,Aleksandr Savenkov
 Russia ,https://www.dafont.com/aleksey-mednov.d6228,Aleksey Mednov
 Russia ,https://www.dafont.com/alex-mihaylov.d4551,Alex Mihaylov
 Russia ,https://www.dafont.com/alexander-pravdin.d6922,Alexander Pravdin
 Russia ,https://www.dafont.com/alexander-tiunov.d7496,Alexander Tiunov
 Russia ,https://www.dafont.com/amazingmax.d2472,Amazingmax - Maxim Avdeev
 Russia ,https://www.dafont.com/andrew-kontuzov-vantula.d4141,Andrew Kontuzov-Vantula
 Russia ,https://www.dafont.com/andrey-kochetov.d5675,Andrey Kochetov
 Russia ,https://www.dafont.com/andrzej-wartkowsky.d1488,Andrzej Wartkowsky
 Russia ,https://www.dafont.com/artdesworld.d7607,ArtDesWorld - Aleksandr Ananin
 Russia ,https://www.dafont.com/cyril-mikhailov.d6033,Cyril Mikhailov
 Russia ,https://www.dafont.com/denis-ignatov.d7296,Denis Ignatov
 Russia ,https://www.dafont.com/denis-serikov.d2143,Denis Serikov
 Russia ,https://www.dafont.com/denis-sherbak.d2018,Denis Sherbak
 Russia ,https://www.dafont.com/design-klimov.d5983,Design Klimov
 Russia ,https://www.dafont.com/designstation.d2332,designstation
 Russia ,https://www.dafont.com/dmitry-bus.d2862,Dmitry Bus
 Russia ,https://www.dafont.com/dmitry-savin.d4099,Dmitry Savin
 Russia ,https://www.dafont.com/eugene-tantsurin.d8156,Eugene Tantsurin
 Russia ,https://www.dafont.com/grigoriy-sviridov.d8248,Grigoriy Sviridov
 Russia ,https://www.dafont.com/pj154.d7098,Igor Kosinsky
 Russia ,https://www.dafont.com/ildar-kinyabulatov.d4363,Ildar Kinyabulatov
 Russia ,https://www.dafont.com/ilyas-yunusov.d7063,Ilyas Yunusov
 Russia ,https://www.dafont.com/jovanny-lemonad.d1907,Jovanny Lemonad - Ivan Gladkikh
 Russia ,https://www.dafont.com/lesha-melnikov.d3764,Lmnd - L M
 Russia ,https://www.dafont.com/andrey-chernevich.d2161,Mister Chek - Andrey Chernevich
 Russia ,https://www.dafont.com/mrfrukta.d2547,MRfrukta - Alex Frukta
 Russia ,https://www.dafont.com/northeast-type-foundry.d7989,Northeast Type Foundry
 Russia ,https://www.dafont.com/omen-type.d3032,Omen Type - Frederik Jackson
 Russia ,https://www.dafont.com/peter-zeenoviev.d2493,Peter Zeenoviev
 Russia ,https://www.dafont.com/roman-paslavskiy.d6895,Roman Paslavskiy
 Russia ,https://www.dafont.com/roman-popov.d1965,Roman Popov
 Russia ,https://www.dafont.com/serge-lapin.d2146,Serge Lapin
 Russia ,https://www.dafont.com/serge-shi.d2920,Serge Shi
 Russia ,https://www.dafont.com/stasia-popova.d6600,Stasia Popova
 Russia ,https://www.dafont.com/stefan-vanli.d2306,Stefan Vanli
 Russia ,https://www.dafont.com/chess-7-chess-7.d1833,Style-7
 Russia ,https://www.dafont.com/vlad-viperov.d4029,Vlad Viperov
